om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,business_fat,church_fat,school_fat,permstructure_fat,outside_fat,vehicle_fat,male_fat,female_fat,unknown_gender,fat_under18,fat_18t44,fat_45t64,fat_over65,unknown_age,loss,closs,slat,slon,elat,elon,len,wid,fc,DateTim,Hour,Year,Length,Width,cas,AreaPth,Ma,ED,ID,TotalPp,TotalMl,MlUnd18,Ml18t44,Ml45t64,MlOvr65,TotlFml,FmlUn18,Fml1844,Fml4564,FmlOv65,White,Black,TtlHsnU,MoblHms,MdnIncm
1055,2000,9,22,2000-09-22,22:30:00,3,SC,45,17,2,5,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.29,0,33.08,-81.48,33.12,-81.43,4.8,400,0,2000-09-22 22:30:00,22,2000,7724.832,287.2672322,6,2219091.108,Sep,146301557545,693,21.29282493,10.07445975,3.339762486,3.273555741,2.398155442,1.062986078,11.21836518,3.034475827,3.641370993,2.765970693,1.776547666,4.579299885,16.05513574,9.489633496,2.324592391,27631.814
612,2000,12,16,2000-12-16,10:34:00,3,AL,1,33,2,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.5,0,31.02,-85.9,31.07,-85.85,4.5,100,0,2000-12-16 10:34:00,10,2000,7242.03,71.81680806,10,520099.4785,Dec,34289427550,700,18.84585556,8.834671469,2.34941631,3.013460244,2.298891228,1.172903688,10.01118409,2.248366146,3.19029803,2.374678851,2.197841064,16.04893138,2.65978467,9.054816469,2.100399834,31994.732
600,2000,12,16,2000-12-16,12:54:00,3,AL,1,37,4,144,11,1,9,1,0,0,0,0,0,0,0,5,6,0,2,5,3,1,0,12.5,0,33.05,-87.7,33.2,-87.4,18,750,0,2000-12-16 12:54:00,12,2000,28968.12,538.6260605,155,15602984.35,Dec,1529089872460,702,1896.181841,925.3164196,277.4069674,371.5299211,215.6293848,60.75014631,970.8654213,235.6922707,422.4598027,221.472022,91.24132588,1374.006866,474.6249415,823.6571328,105.4813511,67339.73267
593,2001,2,16,2001-02-16,12:10:00,3,MS,28,44,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.05,0,33.02,-89.97,33.02,-89.87,4,500,0,2001-02-16 12:10:00,12,2001,6437.36,359.0840403,2,2311553.238,Feb,152397455776,708,52.56578184,24.4824915,8.487683649,8.724408129,4.515785708,2.754614011,28.08329034,7.785735947,10.39349079,5.551666482,4.352397124,14.31253291,37.89616044,21.87730911,4.880204124,28979.59146
14,2001,2,24,2001-02-24,16:46:00,3,AR,5,16,2,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,36.27,-91.97,36.33,-91.87,8,300,0,2001-02-24 16:46:00,16,2001,12874.72,215.4504242,4,2773863.885,Feb,182876946932,711,15.89622934,7.737600041,1.995874722,2.47893441,2.019093117,1.243697791,8.158629302,1.822380541,2.516632738,2.078656355,1.740959668,15.55907564,0.02513600739,7.963270665,1.641232731,35079.2211
592,2001,2,24,2001-02-24,21:35:00,3,MS,28,70,3,73,6,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,31.11,0,34.03,-89.35,34.58,-88.6,52,1000,0,2001-02-24 21:35:00,21,2001,83685.68,718.1680806,79,60100384.18,Feb,5197367175815,714,1450.057794,704.302787,200.8801547,270.0217007,156.4926495,76.9082821,745.7550071,188.6637465,277.0020282,167.2782256,112.8110068,1178.826179,243.187065,601.7170717,126.7089171,44237.27439
46,2001,3,12,2001-03-12,13:00:00,3,AL,1,29,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,31.4,-86.62,31.4,-86.62,3.2,75,0,2001-03-12 13:00:00,13,2001,5149.888,53.86260605,3,277386.3885,Mar,13636260063,717,0.01970881444,0.009679398515,0.002503287217,0.00340332868,0.002531374806,0.001241407812,0.01002941592,0.002302899524,0.003242339306,0.002631106489,0.001853070602,0.01684503585,0.002399011155,0.00952744897,0.003017937226,37888.3896
56,2001,3,15,2001-03-15,3:30:00,3,FL,12,9,2,21,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,30.6,-85.55,30.68,-85.37,10,350,0,2001-03-15 3:30:00,3,2001,16093.4,251.3588282,22,4045218.166,Mar,266695547608,720,50.05951434,26.36910868,5.549415887,10.44620278,6.838572961,3.53491706,23.69040566,5.597096189,8.088912503,6.261980423,3.74241654,42.70772345,5.341263563,23.75910443,9.834429177,41687.12302
113,2001,4,10,2001-04-10,18:20:00,3,MO,29,32,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.07,0,38.85,-91.95,38.85,-91.93,3,100,0,2001-04-10 18:20:00,18,2001,4828.02,71.81680806,3,346732.9857,Apr,17045325079,725,32.23456693,18.44868067,2.963562779,10.66061013,3.258985228,1.565522535,13.78588625,2.910193996,5.494165466,2.585406228,2.796120561,26.60096589,4.490314342,11.05451011,0.5859776758,45078.16689
613,2001,4,11,2001-04-11,4:25:00,3,OK,40,10,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.08,0,34.5,-96.17,34.67,-96.05,13,200,0,2001-04-11 4:25:00,4,2001,20921.42,143.6336161,2,3005019.209,Apr,198116692509,732,15.01074792,7.774421794,1.920470728,2.934811922,1.718415754,1.20072339,7.236326129,1.725009309,2.291053413,1.729880693,1.490382714,11.14604186,0.3344794179,6.63275069,0.7578936417,34518.84752
633,2001,4,11,2001-04-11,15:00:00,3,IA,19,32,2,3,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0.4,0,40.97,-92.38,41.08,-92.32,8.4,100,0,2001-04-11 15:00:00,15,2001,13518.456,71.81680806,5,970852.3598,Apr,64006931426,733,40.41298965,19.62800645,4.752329255,7.088160197,4.825480489,2.962036513,20.7849832,4.462994784,6.837476183,5.060207624,4.424304605,39.25224173,0.2133733869,18.81344002,2.517786059,50029.99232
605,2001,4,21,2001-04-21,20:15:00,3,KS,20,77,4,28,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,43,0,38.5,-98.78,38.57,-98.77,5,660,0,2001-04-21 20:15:00,20,2001,8046.7,473.9909332,29,3814062.842,Apr,373777524379,736,105.1963807,49.93921049,13.84116174,15.71533549,11.52932063,8.853392626,55.25717017,12.60292251,17.60693424,12.61055322,12.4367602,99.02877942,0.9492772035,50.54459013,3.209902225,45498.18883
874,2001,5,31,2001-05-31,19:05:00,3,TN,47,10,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.08,0,35.92,-86.2,35.97,-86.1,6.3,440,0,2001-05-31 19:05:00,19,2001,10138.842,315.9939555,3,3203812.787,May,211222873706,752,78.34402911,39.46282633,11.3201988,16.07546242,8.984922672,3.082242439,38.88120279,10.28204369,16.49696937,8.420707305,3.68148243,73.68144391,3.279220666,29.97161569,4.834565178,61680.13616
266,2001,6,7,2001-06-07,5:24:00,3,LA,22,9,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.05,0,30.7,-91.15,30.7,-91.15,1,30,0,2001-06-07 5:24:00,5,2001,1609.34,21.54504242,1,34673.29857,Jun,1704532508,755,0.06405970857,0.03085758538,0.009607909283,0.01165210155,0.007058061671,0.002539512877,0.0332021232,0.009993339677,0.01234471719,0.00750850153,0.003355564798,0.0496873458,0.01287540523,0.02293809705,0.001768919188,87829.518
269,2001,6,11,2001-06-11,13:30:00,3,FL,12,43,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.04,0,30.28,-81.73,30.28,-81.73,0.1,10,0,2001-06-11 13:30:00,13,2001,160.934,7.181680806,1,1155.776619,Jun,44451686.37,759,0.04606294661,0.02186821221,0.004849934742,0.008932564333,0.005233707546,0.002852005592,0.0241947344,0.005742147906,0.008647640559,0.005371593143,0.004433352792,0.0423405699,0.00256566823,0.02105403352,0.0002053094087,51769.6875
350,2001,6,18,2001-06-18,19:06:00,3,WI,55,8,3,16,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,10,0,45.78,-92.65,45.83,-91.97,34,880,0,2001-06-18 19:06:00,19,2001,54717.56,631.9879109,18,34580836.44,Jun,2990485113469,766,289.1745766,147.0009224,33.92056435,44.0011694,41.85813586,27.22105277,142.1736542,30.73576286,42.01538058,38.82389868,30.59861209,270.2597262,0.5879193841,200.0263721,23.73182452,46406.373
1150,2001,9,24,2001-09-24,15:19:00,3,MD,24,6,3,55,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,101,0,38.93,-76.98,39.23,-76.83,17.5,200,0,2001-09-24 15:19:00,15,2001,28163.45,143.6336161,57,4045218.166,Sep,349822790680,778,5982.640216,2944.447939,668.6369707,1489.865353,589.6243777,196.3212371,3038.192277,628.9987241,1454.904076,668.3321071,285.9573704,3014.749202,1911.409906,2161.05291,2.147756024,94416.21471
560,2001,10,24,2001-10-24,14:15:00,3,IN,18,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,41.43,-86.9,41.67,-86.48,35,1760,0,2001-10-24 14:15:00,14,2001,56326.9,1263.975822,1,71195839.72,Oct,4693841637910,788,1751.585419,1047.117967,197.1656183,536.3313019,231.4315881,82.18945914,704.4674515,176.1357876,245.9967243,172.0926597,110.2422798,1527.93798,155.7884437,563.636444,22.73394424,67040.34611
497,2001,10,24,2001-10-24,14:50:00,3,IN,18,6,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.85,0,41.62,-86.43,42.08,-85.65,47,1320,0,2001-10-24 14:50:00,14,2001,75638.98,947.9818664,3,71704381.43,Oct,6200858838222,789,12736.27628,6151.865839,1552.507967,2413.84634,1412.856526,772.6550059,6584.410438,1476.733362,2625.557179,1469.07725,1013.042647,10272.57914,1809.063666,4981.883929,209.0379678,64871.78627
558,2001,11,23,2001-11-23,19:36:00,3,AR,5,42,2,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,35.45,-93.78,35.75,-93.4,31.5,500,0,2001-11-23 19:36:00,19,2001,50694.21,359.0840403,5,18203481.75,Nov,1200129964238,798,204.1271044,99.43041949,27.08845171,34.89207297,23.69090006,13.75899475,104.6966849,25.907719,35.47381334,24.46499097,18.85016161,195.7743126,0.6314118234,91.21226306,16.60788515,40653.81482
977,2001,11,24,2001-11-24,0:40:00,3,LA,22,2,3,11,3,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,2.25,0,32.8,-91.88,33.13,-91.52,30,880,0,2001-11-24 0:40:00,0,2001,48280.2,631.9879109,14,30512502.74,Nov,2638663335414,800,197.2016479,97.68353002,27.91745028,34.50223509,23.60896993,11.65487471,99.51811786,23.15758777,35.51792784,24.54853354,16.29406871,153.8636103,41.38945578,84.02807037,20.57132356,39358.87824
590,2001,11,24,2001-11-24,3:10:00,3,MS,28,5,2,33,3,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,7.5,0,34.15,-90.45,34.67,-90.1,43.5,300,0,2001-11-24 3:10:00,3,2001,70006.29,215.4504242,36,15082884.88,Nov,994393398940,804,142.6120808,67.68591269,22.48594705,24.32621583,14.43817307,6.435576739,74.92616814,21.7042225,27.91612526,16.0086986,9.297121773,62.36000306,78.86384628,53.74204584,12.51305075,34074.85287
433,2001,11,24,2001-11-24,5:25:00,3,MS,28,16,4,21,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,12,0,32.43,-90.2,32.57,-90.05,11.5,880,0,2001-11-24 5:25:00,5,2001,18507.41,631.9879109,23,11696459.38,Nov,1146251074763,807,858.8406189,403.9602061,116.3319848,134.2417867,112.5665547,40.81987998,454.8804128,120.7554916,163.6479352,121.8528034,48.62418258,639.685882,183.5088258,320.5182319,6.495855253,99183.46277
55,2001,11,24,2001-11-24,10:55:00,3,AL,1,8,3,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1.43,0,33.53,-88.05,33.87,-87.53,38.9,300,0,2001-11-24 10:55:00,10,2001,62603.326,215.4504242,3,13487913.14,Nov,1166409133495,809,141.2223261,67.98846758,16.99354219,24.32142246,17.58980243,9.0837005,73.23385847,15.48820081,24.48068218,18.1581714,15.10680407,118.0320489,21.16467572,66.48626392,12.57122877,39988.68642
551,2001,11,24,2001-11-24,15:01:00,3,AL,1,42,2,4,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.3,0,34.25,-85.77,34.33,-85.68,8.2,200,0,2001-11-24 15:01:00,15,2001,13196.588,143.6336161,6,1895473.655,Nov,124965913737,815,31.8758195,15.92484816,3.714284498,5.717795161,4.442386387,2.050382114,15.95097135,3.362622708,5.591853101,4.285643458,2.710852078,30.57364983,0.5097473036,20.12138748,7.80433475,46468.9392
575,2001,11,26,2001-11-26,23:25:00,3,TN,47,14,3,12,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1.5,0,36.25,-88.25,36.28,-88.23,5,200,0,2001-11-26 23:25:00,23,2001,8046.7,143.6336161,14,1155776.619,Nov,99949368766,822,17.26366171,8.482403903,2.006711523,2.870024299,2.352632932,1.25303515,8.781257804,1.917336848,3.032605578,2.361010498,1.47030488,16.26271377,0.8253940407,7.182878584,1.558089119,50235.2079
572,2002,4,21,2002-04-21,14:49:00,3,IL,17,3,3,42,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,38.35,-88.73,38.35,-88.15,31.5,500,0,2002-04-21 14:49:00,14,2002,50694.21,359.0840403,43,18203481.75,Apr,1574202558059,827,127.7527168,64.17529973,17.54845719,22.57755217,15.05559809,8.993692277,63.57741707,15.40045143,21.58795969,15.47412105,11.11488489,126.1893307,0.1382185629,56.43636469,15.73970496,48371.114
62,2002,4,27,2002-04-27,23:40:00,3,MO,29,9,3,16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,37.22,-90.07,37.27,-90.02,4,200,0,2002-04-27 23:40:00,23,2002,6437.36,143.6336161,17,924621.2951,Apr,79959495013,831,6.482052579,3.264966092,0.844254855,1.08004489,0.8776055162,0.4630608308,3.217086487,0.7621436612,1.076951645,0.8466022202,0.5313889605,6.354549887,0.009791071642,3.171014992,0.7515979053,37577.69808
574,2002,4,28,2002-04-28,0:18:00,3,IL,17,10,3,10,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,8,0,37.37,-89.33,37.37,-88.98,19.3,400,0,2002-04-28 0:18:00,0,2002,31060.262,287.2672322,11,8922595.498,Apr,771609126871,833,88.18517858,43.75445193,11.20680562,15.12020188,11.78368104,5.643763387,44.43072665,10.38088557,14.80542623,11.72648106,7.517933787,85.23358303,0.09407934371,37.81773769,9.146326117,47608.86376
592,2002,4,28,2002-04-28,2:05:00,3,IN,18,2,2,19,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.55,0,37.85,-86.63,37.87,-86.12,32.3,150,0,2002-04-28 2:05:00,2,2002,51981.682,107.7252121,20,5599737.718,Apr,369182836618,837,92.91608033,46.34211317,12.79198711,17.40550444,11.58903284,4.555588781,46.57396716,12.05159375,17.08486127,11.61204433,5.825467804,87.75161631,2.728124244,38.65187181,11.08817859,44873.68095
582,2002,4,28,2002-04-28,16:56:00,3,MD,24,2,4,122,3,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,124,0,38.55,-77.18,38.48,-76.5,38,650,0,2002-04-28 16:56:00,16,2002,61154.92,466.8092524,125,28547682.49,Apr,2797668137020,844,2137.222222,1072.619964,282.324678,385.7796917,290.0991052,114.4164896,1064.602257,262.2632468,380.1745247,287.3117038,134.8527818,1632.999943,411.2220108,762.9193298,24.73729652,96867.34124
621,2002,5,5,2002-05-05,17:45:00,3,TX,48,76,2,4,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,4.04,0,34.73,-101.85,34.82,-101.72,5,150,0,2002-05-05 17:45:00,17,2002,8046.7,107.7252121,6,866832.4641,May,57149045916,847,3.77362551,2.007815075,0.5003366443,0.7381162777,0.5401081489,0.2292540037,1.765810436,0.4275743887,0.6491140664,0.4532031504,0.2359188302,3.523497267,0.0439066218,1.623858107,0.3616148752,67531.46976
85,2002,5,9,2002-05-09,1:11:00,3,IL,17,26,1,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,38.53,-89.13,38.53,-89.13,0.5,100,0,2002-05-09 1:11:00,1,2002,804.67,71.81680806,2,57788.83094,May,2840887513,850,5.23082486,2.285994129,0.607183822,0.9335651295,0.5791697418,0.1660754354,2.944830731,0.6017610708,1.002568987,0.7317272191,0.608773454,4.381393682,0.7633763512,2.850200709,0.1320470205,41604.0184
880,2002,10,24,2002-10-24,13:19:00,3,TX,48,149,2,20,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,75,0,27.73,-97.62,27.78,-97.42,2.5,200,0,2002-10-24 13:19:00,13,2002,4023.35,143.6336161,21,577888.3094,Oct,38099363944,866,863.9372695,432.6951428,128.1431654,173.9468655,84.64256424,45.9625477,431.2421267,124.5404221,147.3084456,84.32968339,75.06357563,546.0304988,46.76379033,301.2749576,9.455602791,44422.41811
340,2002,10,29,2002-10-29,2:45:00,3,LA,22,24,2,3,2,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0.21,0,30.45,-92.37,30.6,-92.28,10.5,50,0,2002-10-29 2:45:00,2,2002,16898.07,35.90840403,5,606782.7249,Oct,40004332141,869,16.20906768,8.009046452,2.450978256,2.769798751,1.948904478,0.8393649671,8.200021228,2.293706328,2.941911808,2.077508629,0.8868944636,12.39578685,3.566979308,6.276042161,0.981900052,41260.71155
898,2002,11,5,2002-11-05,17:35:00,3,AL,1,18,2,20,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,31.57,-85.3,31.6,-85.22,6,200,0,2002-11-05 17:35:00,17,2002,9656.04,143.6336161,21,1386931.943,Nov,91438473466,872,43.88590536,20.98920178,4.758729868,7.07118786,5.628982412,3.53030164,22.89670358,4.567975796,6.483898875,5.546198672,6.298630233,23.48140465,19.11882327,19.62723035,2.747584337,32158.1016
907,2002,11,9,2002-11-09,22:26:00,3,TN,47,11,2,6,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.5,0,35.87,-88.57,35.95,-88.53,10,220,0,2002-11-09 22:26:00,22,2002,16093.4,157.9969777,8,2542708.561,Nov,167637201354,875,20.07942753,9.798650757,2.273558691,3.61048703,2.490019582,1.424585454,10.28077677,2.238014859,3.45553275,2.691502721,1.89572644,17.90824733,1.925839748,9.182091696,2.45166063,42849.41753
927,2002,11,10,2002-11-10,1:00:00,3,TN,47,29,1,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0.1,0,36.53,-87.15,36.55,-87.13,0.3,400,0,2002-11-10 1:00:00,1,2002,482.802,287.2672322,2,138693.1943,Nov,6818130031,876,66.20417302,32.3306066,9.491826034,11.96691596,8.377746288,2.494118323,33.87356642,8.241707123,13.0283671,8.202020317,4.401471882,59.87235309,3.309479435,24.16984585,0.6163537336,80775.96816
914,2002,11,10,2002-11-10,14:15:00,3,OH,39,10,4,17,4,1,2,1,0,0,0,0,0,0,1,3,1,0,0,1,0,3,0,30,0,40.78,-84.77,41.3,-84,52.8,880,0,2002-11-10 14:15:00,14,2002,84973.152,631.9879109,21,53702004.82,Nov,5262787543259,879,1266.462261,615.2587736,169.8593645,226.0369297,145.810706,73.55177347,651.2034869,172.9063751,235.4633318,143.1301571,99.7036229,1226.616981,3.841706465,525.9238483,57.4895576,60234.57934
931,2002,11,10,2002-11-10,16:15:00,3,OH,39,25,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.8,0,41.1,-83.17,41.23,-82.9,21,100,0,2002-11-10 16:15:00,16,2002,33796.14,71.81680806,3,2427130.9,Nov,209893674408,881,92.85399833,45.8321292,11.13525012,17.74102232,10.98570465,5.970152106,47.02186913,10.59322147,17.25671338,10.96382824,8.208106035,90.15570272,0.6052518307,35.7262294,2.468413803,58779.62437
342,2002,11,10,2002-11-10,18:52:00,3,TN,47,14,2,24,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0.25,0,35.5,-86.22,35.57,-86.02,12.3,450,0,2002-11-10 18:52:00,18,2002,19794.882,323.1756363,26,6397223.585,Nov,421759958861,884,251.0827844,124.1697845,30.85951946,49.17431776,29.85942641,14.27652085,126.9129999,32.23079088,46.55229991,31.66368522,16.46622393,239.1462516,3.937833205,110.5710355,24.97240828,46815.88976
362,2002,11,10,2002-11-10,18:52:00,3,AL,1,19,3,38,4,1,2,1,0,0,0,0,0,1,0,3,1,0,0,0,3,1,0,3.2,0,33.75,-87.87,34.05,-87.18,44.3,1175,0,2002-11-10 18:52:00,18,2002,71293.762,843.8474947,42,60161062.45,Nov,5202614517675,885,1115.68972,547.5487115,137.3880347,199.0556627,143.7739901,67.33102407,568.1410082,128.0792121,197.0662035,150.143784,92.85180858,1066.262785,32.92613739,517.2322779,159.8809038,40385.50673
381,2002,11,10,2002-11-10,18:54:00,3,PA,42,15,2,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,41.25,-80.47,41.33,-80.35,7,500,0,2002-11-10 18:54:00,18,2002,11265.38,359.0840403,20,4045218.166,Nov,266695547608,886,621.5472401,291.7473251,65.0499462,91.44310131,75.48676412,59.76751351,329.7999149,62.97777381,98.24507719,82.9351204,85.64194352,605.477353,3.902569509,284.9106461,15.47167399,56999.45866
896,2002,11,10,2002-11-10,19:20:00,3,MS,28,21,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.14,0,33.22,-88.95,33.4,-88.25,51,400,0,2002-11-10 19:20:00,19,2002,82076.34,287.2672322,1,23577843.02,Nov,1159082105351,888,249.240454,121.8569018,36.18055091,48.29570702,26.80059832,10.58004561,127.3835522,35.45591335,48.31744051,28.77477085,14.83542748,128.6253939,116.5993906,99.98167399,24.99922675,35980.76429
375,2002,11,10,2002-11-10,19:31:00,3,TN,47,18,3,28,7,5,0,2,0,0,0,0,0,0,2,3,4,0,1,1,3,2,0,0.97,0,36.03,-84.6,36.05,-84.45,8.3,300,0,2002-11-10 19:31:00,19,2002,13357.522,215.4504242,35,2877883.781,Nov,248873928227,889,63.19639068,31.23318686,7.696093402,12.12471916,7.94368496,3.46868934,31.96320381,7.638090083,11.53916055,8.361945315,4.424007867,62.30166031,0.07875688841,26.63060641,7.372103677,44251.65598
432,2002,11,10,2002-11-10,20:15:00,3,AL,1,27,3,53,7,0,7,0,0,0,0,0,0,0,0,2,5,0,1,2,3,1,0,4.3,0,33.77,-87.8,34.15,-86.6,72.6,1175,0,2002-11-10 20:15:00,20,2002,116838.084,843.8474947,60,98593524.47,Nov,8526180902556,890,2475.759962,1232.960775,307.4072462,461.271858,319.0805046,145.2011662,1242.799187,281.5658496,447.4851489,325.5100259,188.238163,2373.413168,50.97992619,1145.697866,341.4119566,45769.00275
341,2002,11,10,2002-11-10,21:43:00,3,TN,47,13,3,18,4,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0.5,0,35.9,-85.1,35.9,-84.9,12.2,900,0,2002-11-10 21:43:00,21,2002,19633.948,646.3512725,22,12690427.27,Nov,1097444069047,891,747.6154018,357.2799407,79.79807354,114.7638577,92.0661941,70.65181544,390.335461,85.66015894,116.3863909,111.7478417,76.54106946,735.2964116,0.3045777891,349.8263204,53.27895964,44098.00431
390,2002,11,10,2002-11-10,23:20:00,3,AL,1,25,2,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.2,0,34.12,-85.63,34.15,-85.47,10.5,440,0,2002-11-10 23:20:00,23,2002,16898.07,315.9939555,5,5339687.979,Nov,352038122843,893,104.4953117,51.36472895,11.15774257,17.14384214,14.31277703,8.750367208,53.13058276,9.229890918,16.51400079,15.38357029,12.00312076,96.53101144,6.245627876,63.11142333,15.78820281,45021.40698
425,2002,12,17,2002-12-17,23:05:00,3,MO,29,21,2,17,2,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0.5,0,37.08,-93.78,37.13,-93.7,4,100,0,2002-12-17 23:05:00,23,2002,6437.36,71.81680806,19,462310.6475,Dec,30479491155,898,18.81444368,9.414833923,2.577748869,3.090255989,2.254685105,1.49214396,9.399609756,2.155284399,3.043088229,2.299074496,1.902162632,18.19526472,0.08601043174,7.916853489,0.7879985128,45382.32883
421,2002,12,18,2002-12-18,1:53:00,3,MO,29,23,1,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.14,0,37.35,-94.32,37.42,-94.17,9.5,100,0,2002-12-18 1:53:00,1,2002,15288.73,71.81680806,8,1097987.788,Dec,53976862749,899,6.909250852,3.510680619,0.999603418,1.223966308,0.8118245712,0.4752863222,3.398570233,0.8624361539,1.169938923,0.8190547929,0.5471403634,6.605187047,0.01126759387,2.903754038,0.4908890922,39559.20624
433,2002,12,18,2002-12-18,15:35:00,3,AR,5,9,3,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,35.1,-92.32,35.2,-92.18,9.8,150,0,2002-12-18 15:35:00,15,2002,15771.532,107.7252121,14,1698991.63,Dec,146925572086,901,54.05594398,27.16430642,7.497236335,10.67330858,6.865672045,2.128089465,26.89163755,7.249001714,10.36950776,6.830067865,2.443060213,51.21832979,0.2195043293,21.12830299,4.729626108,55212.48659
27,2003,2,22,2003-02-22,15:09:00,3,KY,21,1,1,7,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0.3,0,37.55,-83.55,37.55,-83.55,0.5,75,0,2003-02-22 15:09:00,15,2003,804.67,53.86260605,9,43341.62321,Feb,2130665635,910,0.03185907182,0.015441565,0.003981474036,0.005368367528,0.00439013127,0.001701592163,0.01641750682,0.003672057476,0.005848096723,0.004286079365,0.002611273256,0.03076541229,0.0003248312547,0.01323270277,0.006146233482,29286.2833
42,2003,3,19,2003-03-19,11:09:00,3,TN,47,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1,0,36.1,-85.58,36.28,-85.45,12.2,440,0,2003-03-19 11:09:00,11,2003,19633.948,315.9939555,2,6204208.89,Mar,304997683408,912,1618.548617,816.3083636,148.3896439,474.6310163,130.2082666,63.07943686,802.2402537,159.5044496,388.7061476,147.3614803,106.6681762,1484.740645,56.60156804,684.1666433,53.82060328,41721.9734
47,2003,3,20,2003-03-20,4:05:00,3,GA,13,4,3,200,6,0,4,0,2,0,0,0,0,0,0,4,2,0,2,2,1,1,0,6.75,0,31.18,-84.27,31.4,-83.95,25,600,0,2003-03-20 4:05:00,4,2003,40233.5,430.9008484,206,17336649.28,Mar,1499240531485,916,354.0100716,194.9701842,39.59546376,95.59287044,43.5201584,16.26169157,159.0398874,40.43292371,55.09255158,39.31423277,24.20017937,191.6042903,153.4238535,122.4443555,32.31998807,43728.30682
