om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,business_fat,church_fat,school_fat,permstructure_fat,outside_fat,vehicle_fat,male_fat,female_fat,unknown_gender,fat_under18,fat_18t44,fat_45t64,fat_over65,unknown_age,loss,closs,slat,slon,elat,elon,len,wid,fc,DateTim,Hour,Year,Length,Width,cas,AreaPth,Ma,ED,ID,TotalPp,TotalMl,MlUnd18,Ml18t44,Ml45t64,MlOvr65,TotlFml,FmlUn18,Fml1844,Fml4564,FmlOv65,White,Black,TtlHsnU,MoblHms,MdnIncm
597,1995,5,29,1995-05-29,16:06:00,3,MA,25,1,4,24,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,2,1,0,0,7,0,42.2,-73.43,42.17,-73.17,11.5,300,0,1995-05-29 16:06:00,16,1995,18507.41,215.4504242,27,3987429.335,May,390767411851,67,173.6412763,81.36533818,19.80652257,29.43312063,19.25774624,14.49577769,92.27593809,20.47219978,31.21177087,20.58664968,18.37748881,166.5151693,3.960778759,83.75994603,0.4747034818,65475.12583
1071,1995,10,4,1995-10-04,11:30:00,3,FL,12,70,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,30.75,-86.6,30.7501,-86.5999,1.8,170,0,1995-10-04 11:30:00,11,1995,2896.812,122.0885737,4,353667.6454,Oct,23316810734,89,1.124562921,0.5395838473,0.1828339974,0.2276862976,0.100717263,0.03782034314,0.5849790734,0.1799706631,0.2518681293,0.0999049193,0.04376130782,0.6704355014,0.3682049133,0.4604465821,0.03796383256,51460.4585
1185,1995,11,10,1995-11-10,23:02:00,3,AR,5,21,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,35.03,-91.53,35.05,-91.4,8.5,100,0,1995-11-10 23:02:00,23,1995,13679.39,71.81680806,3,982410.126,Nov,64768918705,104,4.756644746,2.362387325,0.6003400999,0.8276030514,0.5472161588,0.3730634302,2.394257421,0.5637293131,0.8399935786,0.5537058646,0.4509932492,4.264921349,0.3919497603,2.216601,0.5289289474,36091.3035
1233,1995,12,19,1995-12-19,2:15:00,3,FL,12,94,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,30.68,-84.68,30.6801,-84.6799,0.3,50,0,1995-12-19 2:15:00,2,1995,482.802,35.90840403,2,17336.64928,Dec,1142980918,115,0.04828350441,0.02327766907,0.008339062025,0.008975009148,0.00399565514,0.002015525801,0.02500583534,0.008219229792,0.00960811051,0.004737386642,0.002393525346,0.007938182203,0.03879303741,0.01626155052,0.006499342296,39555.545
26,1996,1,26,1996-01-26,17:27:00,3,AL,1,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1,0,31,-88.23,31,-88.23,2,500,0,1996-01-26 17:27:00,17,1996,3218.68,359.0840403,4,1155776.619,Jan,56817750262,125,0.8387895822,0.4190018142,0.1302353104,0.1574147953,0.09093202803,0.03627460628,0.419787768,0.1224584195,0.1688886539,0.09238644003,0.04019932872,0.7410985851,0.07448976947,0.3166173034,0.1166621473,49100.7034
38,1996,2,2,1996-02-02,17:15:00,3,FL,12,5,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.02,0,29.78,-81.65,29.82,-81.57,6.5,10,0,1996-02-02 17:15:00,17,1996,10460.71,7.181680806,1,75125.48023,Feb,2889359614,126,0.7678044262,0.3926546505,0.09668797579,0.1413616119,0.08962917018,0.0580167667,0.3751497757,0.09430679858,0.1370228787,0.09554636935,0.05523285505,0.7343345163,0.02065442637,0.3560606695,0.1747547706,47955.26174
69,1996,3,6,1996-03-06,3:42:00,3,AL,1,5,3,40,4,2,2,0,0,0,0,0,0,0,0,2,2,0,1,0,2,1,0,8,0,32.42,-87.23,32.5,-86.97,19,400,0,1996-03-06 3:42:00,3,1996,30577.46,287.2672322,44,8783902.303,Mar,759615202619,132,124.9542496,59.2121065,16.5131712,22.08544847,13.90237077,7.090042161,65.74214306,17.5799561,25.14254521,14.26787247,8.372843191,78.45097835,45.3346442,51.65802439,16.15147883,42556.15977
73,1996,3,6,1996-03-06,5:20:00,3,AL,1,9,2,17,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1.5,0,32.33,-86.13,32.38,-86.08,4,200,0,1996-03-06 5:20:00,5,1996,6437.36,143.6336161,19,924621.2951,Mar,60958982311,133,44.41235111,26.0433821,6.311760349,11.79360479,5.214578676,1.321528818,18.368969,5.332512292,8.526197375,4.180628794,1.731540012,21.69816941,21.92861484,13.82858323,1.76120652,67261.72432
180,1996,4,14,1996-04-14,18:10:00,3,AR,5,11,4,35,7,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,4,3,0,3,0,35.82,-92.35,36.2,-91.72,44,880,0,1996-04-14 18:10:00,18,1996,70810.96,631.9879109,42,44751670.68,Apr,4385656286050,144,333.3727533,161.4491666,35.1586579,48.37411525,41.54849903,36.86225331,171.9235867,35.53585862,49.54857309,44.65652872,41.68826737,327.3653144,0.2572001228,169.0615693,37.69447778,33892.73656
205,1996,4,19,1996-04-19,19:55:00,3,IL,17,37,3,13,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,40.12,-87.95,40.13,-87.95,2,1500,0,1996-04-19 19:55:00,19,1996,3218.68,1077.252121,14,3467329.857,Apr,299848106297,157,48.67433397,23.85647356,6.829519048,9.006637666,5.479551385,2.437768005,24.81786041,6.877888116,9.549754293,5.516998987,2.976216471,48.17803036,0.04057776548,18.92006689,0.3090074205,73933.139
