,om,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke,DateTim,Hour,Year,Length,Width,cas
229,6,1997,1,4,1997-01-04,22:55:00,3,KY,21,1,2,1,0,1,0,0,0.05,0,-85.15,36.68,-85.15,36.68,0.3,100,Tornado,#0000FF,1997-01-05,22,1997,482.802,71.81680806,3
237,17,1997,1,24,1997-01-24,17:00:00,3,AL,1,2,10,1,0,0,1,0,5,0,-87.57,33.13,-87.43,33.25,10,200,Tornado,#008000,1997-01-24,17,1997,16093.4,143.6336161,11
244,63,1997,2,20,1997-02-20,19:59:00,3,AR,5,1,3,1,0,1,0,0,0.25,0,-94.02,35.13,-94.02,35.17,5,100,Tornado,#0000FF,1997-02-21,19,1997,8046.7,71.81680806,4
246,664,1997,3,1,1997-03-01,1:00:00,3,MS,28,1,4,1,0,1,0,0,0.1,0,-89.22,34.1,-88.88,34.37,15,400,Tornado,#0000FF,1997-03-01,1,1997,24140.1,287.2672322,5
251,150,1997,3,1,1997-03-01,14:20:00,3,AR,5,4,100,6,2,2,2,0,0,0,-93.33,33.9,-93.02,34.15,27,1053,Tornado,#FF0000,1997-03-01,14,1997,43452.18,756.2309889,106
255,156,1997,3,1,1997-03-01,15:25:00,3,AR,5,4,40,10,4,3,3,0,0,0,-92.52,34.52,-92.35,34.65,14,1407,Tornado,#FF0000,1997-03-01,15,1997,22530.76,1010.462489,50
256,168,1997,3,1,1997-03-01,15:25:00,3,AR,5,2,30,2,0,0,2,0,0,0,-91.58,35.43,-91.5,35.55,8.5,1053,Tornado,#008000,1997-03-01,15,1997,13679.39,756.2309889,32
259,161,1997,3,1,1997-03-01,15:41:00,3,AR,5,4,180,5,2,1,2,0,0,0,-92.35,34.62,-92.2,34.75,11,1407,Tornado,#FF0000,1997-03-01,15,1997,17702.74,1010.462489,185
260,170,1997,3,1,1997-03-01,15:42:00,3,AR,5,2,30,1,0,1,0,0,0,0,-91.37,35.6,-91.03,35.82,23,880,Tornado,#008000,1997-03-01,15,1997,37014.82,631.9879109,31
264,671,1997,3,1,1997-03-01,16:45:00,3,AR,5,3,5,1,0,0,1,0,0.5,0,-90.83,35.98,-90.35,36.2,15,200,Tornado,#FFAA00,1997-03-01,16,1997,24140.1,143.6336161,6
265,675,1997,3,1,1997-03-01,19:00:00,3,TN,47,4,15,1,0,1,0,0,2,0,-89.67,35.95,-89.18,36.12,15,200,Tornado,#FF0000,1997-03-02,19,1997,24140.1,143.6336161,16
267,649,1997,3,28,1997-03-28,18:04:00,3,KY,21,3,14,1,1,0,0,0,1.4,0,-85.92,37.37,-85.77,37.43,9,1200,Tornado,#FFAA00,1997-03-28,18,1997,14484.06,861.8016967,15
269,94,1997,3,28,1997-03-28,19:15:00,3,KY,21,2,6,1,0,1,0,0,3,0,-85.32,37.18,-85.08,37.22,10,200,Tornado,#008000,1997-03-29,19,1997,16093.4,143.6336161,7
274,731,1997,4,10,1997-04-10,20:35:00,3,TX,48,1,1,1,0,1,0,0,0.03,0,-101.12,33.48,-101.12,33.48,0.2,50,Tornado,#0000FF,1997-04-11,20,1997,321.868,35.90840403,2
285,147,1997,5,2,1997-05-02,17:40:00,3,GA,13,1,3,1,0,1,0,0,0.1,0,-85.37,34.8,-85.3,34.87,10,100,Tornado,#0000FF,1997-05-02,17,1997,16093.4,71.81680806,4
293,718,1997,5,27,1997-05-27,14:40:00,3,TX,48,5,12,27,27,0,0,0,40,0,-97.62,30.82,-97.67,30.77,5.1,650,Tornado,#FF00FF,1997-05-27,14,1997,8207.634,466.8092524,39
295,722,1997,5,27,1997-05-27,15:50:00,3,TX,48,4,5,1,0,1,0,0,15,0,-98.02,30.37,-97.98,30.33,5.6,440,Tornado,#FF0000,1997-05-27,15,1997,9012.304,315.9939555,6
307,843,1997,7,2,1997-07-02,14:45:00,3,MI,26,3,1,1,0,0,1,0,3.8,0,-83.62,43.18,-83.62,43.18,1.7,1500,Tornado,#FFAA00,1997-07-02,14,1997,2735.878,1077.252121,2
308,846,1997,7,2,1997-07-02,15:32:00,3,MI,26,1,0,1,0,1,0,0,2,0,-83.57,42.83,-83.57,42.83,0.3,23,Tornado,#0000FF,1997-07-02,15,1997,482.802,16.51786585,1
315,912,1997,7,23,1997-07-23,18:26:00,3,ND,38,2,2,1,0,0,1,0,0.05,0,-101.7,48.5,-101.7,48.5,0.2,30,Tornado,#008000,1997-07-23,18,1997,321.868,21.54504242,3
316,793,1997,7,23,1997-07-23,21:53:00,3,SC,45,2,6,1,1,0,0,0,0.92,0,-81.05,33.85,-81.02,33.88,3.5,200,Tornado,#008000,1997-07-24,21,1997,5632.69,143.6336161,7
322,484,1997,8,16,1997-08-16,13:10:00,3,PA,42,1,0,1,0,0,1,0,0,0,-76.48,41.38,-76.48,41.38,0.5,50,Tornado,#0000FF,1997-08-16,13,1997,804.67,35.90840403,1
323,1048,1997,9,18,1997-09-18,17:15:00,3,MN,27,3,1,1,1,0,0,0,1.7,0,-94.05,46.07,-93.67,46.08,17,800,Tornado,#FFAA00,1997-09-18,17,1997,27358.78,574.5344645,2
354,887,1998,2,22,1998-02-22,21:55:00,3,FL,12,2,3,1,0,1,0,0,4,0,-81.1,29.17,-81.03,29.22,8,150,Tornado,#008000,1998-02-23,21,1998,12874.72,107.7252121,4
355,888,1998,2,22,1998-02-22,22:37:00,3,FL,12,3,70,3,0,3,0,0,15,0,-81.72,28.48,-81.45,28.63,18,200,Tornado,#FFAA00,1998-02-23,22,1998,28968.12,143.6336161,73
356,890,1998,2,22,1998-02-22,23:10:00,3,FL,12,3,36,13,1,12,0,0,31,0,-81.35,28.7,-81.15,28.8,16,200,Tornado,#FFAA00,1998-02-23,23,1998,25749.44,143.6336161,49
357,893,1998,2,22,1998-02-22,23:40:00,3,FL,12,3,150,25,0,14,11,0,55,0,-81.48,28.23,-80.9,28.48,28,250,Tornado,#FFAA00,1998-02-23,23,1998,45061.52,179.5420202,175
364,761,1998,3,20,1998-03-20,5:25:00,3,GA,13,3,171,12,0,11,1,0,20,0,-83.9,34.38,-83.7,34.53,4,100,Tornado,#FFAA00,1998-03-20,5,1998,6437.36,71.81680806,183
366,771,1998,3,20,1998-03-20,14:25:00,3,NC,37,3,27,2,1,0,1,0,34,0,-79.98,36.4,-79.78,36.53,12,300,Tornado,#FFAA00,1998-03-20,14,1998,19312.08,215.4504242,29
371,767,1998,3,29,1998-03-29,15:50:00,3,MN,27,4,19,1,1,0,0,0,75.05,0,-95.53,43.95,-94.27,44.27,73.5,1500,Tornado,#FF0000,1998-03-29,15,1998,118286.49,1077.252121,20
372,789,1998,3,29,1998-03-29,17:18:00,3,MN,27,3,0,1,0,0,1,0,120,0,-94.17,44.28,-93.95,44.33,12,2200,Tornado,#FFAA00,1998-03-29,17,1998,19312.08,1579.969777,1
376,1036,1998,4,1,1998-04-01,18:00:00,3,VA,51,3,0,2,2,0,0,0,0.8,0,-77.62,37.88,-77.53,37.88,5,400,Tornado,#FFAA00,1998-04-01,18,1998,8046.7,287.2672322,2
383,833,1998,4,8,1998-04-08,18:42:00,3,AL,1,5,259,32,29,3,0,0,200.03,0,-87.35,33.42,-86.87,33.58,30.3,1320,Tornado,#FF00FF,1998-04-08,18,1998,48763.002,947.9818664,291
384,117,1998,4,8,1998-04-08,19:56:00,3,AL,1,2,12,2,0,2,0,0,2,0,-86.48,33.62,-86.25,33.63,14.4,200,Tornado,#008000,1998-04-08,19,1998,23174.496,143.6336161,14
386,779,1998,4,8,1998-04-08,22:35:00,3,GA,13,2,10,1,1,0,0,0,75,0,-84.33,33.95,-83.98,34.02,19,800,Tornado,#008000,1998-04-09,22,1998,30577.46,574.5344645,11
387,818,1998,4,9,1998-04-09,3:45:00,3,GA,13,3,17,2,0,2,0,0,2.7,0,-81.58,32.17,-81.3,32.23,8,440,Tornado,#FFAA00,1998-04-09,3,1998,12874.72,315.9939555,19
388,820,1998,4,9,1998-04-09,4:35:00,3,GA,13,2,31,4,0,3,1,0,38.2,0,-81.78,31.83,-81.32,31.93,24.5,400,Tornado,#008000,1998-04-09,4,1998,39428.83,287.2672322,35
393,874,1998,4,16,1998-04-16,1:50:00,3,AR,5,4,12,2,0,2,0,0,0.35,0,-90.18,35.87,-90.13,35.9,5,400,Tornado,#FF0000,1998-04-16,1,1998,8046.7,287.2672322,14
394,877,1998,4,16,1998-04-16,3:00:00,3,TN,47,3,3,2,0,2,0,0,0.25,0,-89.32,36.03,-89.25,36.03,4,100,Tornado,#FFAA00,1998-04-16,3,1998,6437.36,71.81680806,5
397,930,1998,4,16,1998-04-16,14:30:00,3,TN,47,3,60,1,0,0,1,0,101,0,-86.92,36.07,-86.12,36.37,42.1,880,Tornado,#FFAA00,1998-04-16,14,1998,67753.214,631.9879109,61
